tic,name,ra,dec,tmag,ctl,sector 
247405885,HD 17332 A,41.86477423,19.37116297,6.582,0, 
254051086,HR 7169,285.26358,-37.061032,6.756,0, 
290932786,J1429-5607,217.49317,-56.131237,6.755,1, 
389988925,HD 92783,160.2765615,-64.47433475,6.782,1, 
125754991,V1229 Tau,56.87280843,24.2881434,6.763,1, 
440695975,HD 23964,57.49198232,23.84850011,6.72,1, 
235037790,HD 221740,353.80449,-64.689059,6.797,1,1 
436656073,HD 30738,72.70262587,16.21034161,6.79,1, 
405484416,HD 23568,56.74757874,24.51992657,6.79,1, 
220531876,J1554-2245,238.67332,-22.766256,6.804,1, 
385328237,HD 79387,137.90771,-54.037019,7.512,0, 
186287370,J1533-2429,233.28963,-24.490387,6.797,1, 
464415840,HD 173167,282.02661,-62.230058,6.836,1, 
71704392,J1105-4726,166.44064,-47.442341,6.832,0, 
50171166,J1621-2342,245.32995,-23.707985,6.817,1, 
408012676,HD 984,3.543160425,-7.199397933,6.845,1, 
374719920,J1608-3613,242.01827,-36.23185,6.79,0, 
389987955,HD 92715,160.175272,-64.65314265,6.835,0, 
441420236,AU Mic,311.2910913,-31.34240001,6.755,0,1 
124612531,PX Vir,195.9560925,-5.162753159,6.844,0, 
35156298,HD 23763,57.12549403,24.34533674,6.816,1, 
360259773,HD 108735,187.57315,-72.985284,6.83,1, 
453817590,J1318-4403,199.52125,-44.05537,6.822,0, 
17418956,HD 28033,66.57753999,21.47027277,6.837,1, 
32500778,HD 37484,84.41522709,-28.62630613,6.86,1, 
445925825,HD 20430,49.3606423,7.655784772,6.828,0, 
246664608,J1652-4259,253.13288,-42.991783,6.866,1, 
369614946,HD 3888,10.215716,-53.21012,6.874,1,2 
73905437,J0531+2746,82.84493228,27.76886418,6.856,1, 
270377865,HD 217343,345.0808693,-26.15442266,6.862,0,2 
433276798,HD 105785,182.67502,-56.442368,6.863,1, 
438695270,J1329-4752,202.40072,-47.875824,6.854,1, 
17410529,HD 27989,66.46598988,18.86389277,6.863,1, 
167699908,AS Col,80.15874419,-39.75488899,6.883,1, 
245786953,V993 Tau,66.90000161,15.58909229,6.877,1, 
17150156,V1232 Tau,64.50815247,18.25667439,6.873,1, 
67830155,HD 23410,56.4534892,23.14695614,6.841,1, 
157968700,HD 108574,187.0174521,44.79429106,6.896,0, 
453819990,J1318-4545,199.60375,-45.764664,6.895,1, 
401435810,J1321-5116,200.48811,-51.28223,6.894,1, 
440863421,J1456-2617,224.23939,-26.284971,6.867,1, 
408042385,J0509+0710,77.44152841,7.181652401,6.894,1, 
17232188,HD 27406,65.05453363,19.23333105,6.908,1, 
241552893,J1347-5216,206.79394,-52.269245,6.899,1, 
83824229,J1638-3909,249.62894,-39.152328,6.935,0, 
29900813,V* EX Cet,24.398499,-6.7608338,6.896,0, 
176832633,HD 20484,49.136533,-35.691197,6.941,0, 
245902283,HD 29310,69.38371083,15.14638436,6.933,1, 
381941359,J1212-6327,183.04272,-63.454109,6.924,1, 
17459776,HD 28150,66.770282,18.207507,6.932,0, 
425934574,HIP 1481,4.609688564,-63.47774136,6.944,1,1-2 
438702139,J1324-5130,201.15041,-51.504429,6.947,1, 
49906916,HIP 15247,49.16979307,-3.530461753,6.956,1, 
373027194,HD 28237,66.94244576,11.73636725,6.946,1, 
118678954,HD 29419,69.71419532,23.14974746,6.966,1, 
120462356,HIP 490,1.469483349,-41.75338679,6.976,1,2 
139898417,HD 207043,326.98108,-52.931008,6.969,0,1 
255134616,J1555-4431,238.84539,-44.526043,6.988,1, 
435939639,V895 Tau,66.05243607,14.75816067,6.951,1, 
231064749,HIP 9902,31.85961937,-59.67950487,7.003,1,2 
211086449,J1625-3204,246.40234,-32.076717,6.988,1, 
20072435,HIP 28036,88.92995209,-38.10447467,6.967,1, 
440691760,HD 23913,57.4091661,22.53329808,6.969,0, 
208390962,J1354-5544,208.6596,-55.738308,6.983,1, 
148899733,J1525-3810,231.27681,-38.169296,6.995,1, 
440681358,HD 23632,56.83745717,23.8031539,6.965,1, 
23567431,J1548-2512,237.01376,-25.215614,6.981,1, 
290716988,UY Pic,84.23703075,-47.96469467,7.019,1, 
125838647,HD 283750,69.20209613,27.13157684,6.923,0, 
385552299,J0345+2420,56.40754777,24.33546971,6.978,1, 
167546864,J1424-4045,216.18294,-40.755165,7.014,0, 
12628957,HD 142988,239.62657,-20.893425,6.994,1, 
48437482,J1454-3408,223.6054,-34.142834,6.964,1, 
34404183,J1654-3328,253.61002,-33.475346,7.016,1, 
69609942,J1604-3926,241.18535,-39.43465,7.032,0, 
409228490,J1645-2638,251.45192,-26.649422,7.02,1, 
397231463,HIP 32435,101.5571395,-83.99127197,7.009,1, 
308243453,HD 21434,51.49592215,-35.95832317,7.029,1, 
210908710,J1623-3311,245.98635,-33.19939,7.015,0, 
411873363,J1238-5555,189.53025,-55.931454,6.873,1, 
69514028,J1604-3748,241.17637,-37.816139,7.044,1, 
142098919,HD 103742,179.1754476,-32.26819098,7.041,0, 
206384979,HIP 16853 A,54.22311398,-49.95801183,7.041,1, 
386980599,J1557-3143,239.49729,-31.728954,7.054,0, 
436651598,HD 30712,72.64128676,15.08334954,7.058,1, 
160009706,HD 21341,51.303585,-37.15271,7.076,1, 
452591868,HIP 46720 A,142.8531671,-73.74690076,6.991,1, 
49977090,J1620-2003,245.02288,-20.056358,7.072,0, 
98371994,J1618-2802,244.56737,-28.041693,7.085,0, 
9676357,J1601-2158,240.48111,-21.980457,7.083,1, 
150143137,HD 43199,92.72051,-61.499663,7.239,1,1-2 
225797367,J1520-2817,230.13095,-28.287134,7.111,0, 
253683473,HIP 92188,281.82933,-37.548796,7.127,1, 
79323080,HD 40530,90.15420219,29.00506517,7.112,1, 
118893807,HD 284659,70.550801,22.942297,7.111,1, 
278036258,V343 Nor A,234.7393933,-57.70798203,7.07,1, 
396860027,HD 26257,62.2880594,0.1790454131,7.151,1, 
436705322,HD 31315,73.83153,16.620231,7.118,1, 
387609654,BZ Cet,45.01309579,7.749843463,7.082,0, 
254045302,HD 176386,285.41224,-36.89083,7.111,1, 
316331312,NO UMa,187.8296286,55.11885171,7.119,0, 
243430178,J1342-4311,205.68194,-43.185696,7.104,1, 
247372926,HD 16909,40.83903471,19.42918773,7.188,0, 
17070887,HD 26874,63.92730877,20.81965118,7.148,1, 
373420313,J0505+0607,76.27745035,6.130164033,7.144,1, 
