tic,name,ra,dec,tmag,ctl,sector 
318841562,HD 17250,41.56118593,5.592405882,7.354,1, 
282402573,HD 40512,89.87475374,2.476200825,7.354,1, 
245911057,HD 29461,69.7392319,14.10548198,7.357,1, 
390472975,J1217-5558,184.47163,-55.975548,7.365,1, 
436658862,HD 30809,72.84701345,15.43338895,7.39,1, 
441398770,AT Mic A,310.46315,-32.435161,7.396,1,1
241660079,HD 120641,208.01211,-52.810034,7.398,1, 
340637365,HD 63581,116.5612604,-59.81343756,7.399,0, 
267537284,HD 61518,114.26143,-52.365816,7.411,1, 
77471757,HD 142540,239.02118,-25.935939,7.414,1, 
266746662,HIP 9141 AB,29.45453874,-21.90169374,7.419,1, 
434229836,V1309 Tau,63.61405048,12.43526028,7.422,1, 
258236059,J1209-4250,182.33519,-42.838455,7.438,1, 
60903678,V906 Tau,66.60300028,16.85319076,7.448,1, 
590274,HIP 22226,71.7065262,-26.30247982,7.474,1, 
60903802,HD 28099,66.66764144,16.74678117,7.481,1, 
451140671,J1231-6154,187.8027,-61.908764,7.487,1, 
75543709,J1501-3132,225.45292,-31.543945,7.503,1, 
340637363,HD 63608,116.5702355,-59.80886082,7.51221,0, 
27407107,HD 33400,77.69823703,20.56906638,7.529,1, 
435883224,HD 27130,64.41276524,16.94773117,7.543,1, 
406095880,HIP 92680,283.2745786,-50.18088379,7.546,1, 
21504987,HD 38397,85.89934205,-39.92347462,7.574,1, 
435938936,HD 27835,66.053656,16.378839,7.632,1, 
436590739,HD 30246,71.62698443,15.47193867,7.663,1, 
98761335,J1543-3514,235.82167,-35.243359,7.666,0, 
17409930,HD 27990,66.44858107,18.01713934,7.671,1, 
68164488,J1611-2733,242.96123,-27.552746,7.685,1, 
10802452,HIP 6276,20.13492417,-11.46827257,7.686,0, 
420980965,HD 36169,82.263696,-19.143303,7.689,1, 
301219220,J1153-5815,178.26945,-58.25349,7.691,1, 
245860592,HD 285931,68.49435049,15.16353666,7.694,1, 
436501188,J1255-6338,193.76631,-63.640774,7.697,1, 
167756732,HD 35650 AB,81.12593773,-38.96989057,7.702,1, 
152371327,CD-26 1643,65.389659,-25.719482,7.712,1, 
386816874,HD 149848,249.63064,-31.101193,7.731,1, 
464646604,HIP 94235 AB,287.741141,-60.27262187,7.735,1, 
245431214,J1320-4913,200.1117,-49.223679,7.735,1, 
81003,J1445-2656,221.38534,-26.942677,7.744,1, 
457178653,J1332-5549,203.17704,-55.827553,7.746,1, 
435907579,HD 27282,64.78386067,17.52463838,7.758,1, 
321100028,HD 25402,60.13364862,-41.74844417,7.762,1, 
410214986,HIP 116748 A,354.9154363,-69.19603359,7.771,1,1
46386531,AH Lep,83.53828332,-15.28431343,7.772,1, 
23220549,IS Eri,47.42657832,-9.580075501,7.78,0, 
242990423,HD 25153,60.06964389,14.3058324,7.789,1, 
441546821,J1309-6018,197.3175,-60.308361,7.797,1, 
434230605,HD 26756,63.60734023,14.6249752,7.803,1, 
97014510,HD 160305,265.4543134,-50.72473056,7.805,1, 
7445001,HIP 25436,81.600198,-43.375699,7.823,1, 
442062521,J1310-6205,197.74589,-62.087715,7.827,1, 
18485128,HD 30355,71.90693317,18.25858866,7.835,1, 
112603301,GJ 2060 A,112.2134378,-30.24770893,7.836,0, 
178969585,HIP 21632,69.68335522,-27.03387994,7.846,1, 
319289907,HIP 22295,72.02281201,-80.77907191,7.847,1,1
453813834,J1317-4255,199.37064,-42.932976,7.853,1, 
301226897,J1153-5643,178.28333,-56.727261,7.855,1, 
206592394,HIP 6485,20.83928147,-57.48089737,7.863,1,2
24451239,HIP 25709 AB,82.35054771,-34.5153974,7.866,1, 
456945485,HD 28593,67.81586513,20.13300562,7.88,1, 
149347480,HD 37402,83.609162,-60.104054,7.88,1,2-Jan
17198787,V893 Tau,64.74206096,19.90654912,7.904,1, 
17554784,V918 Tau,67.15552242,19.74053056,7.919,1, 
357105301,HD 104467,180.4120668,-78.9880532,7.92,1, 
245835422,V997 Tau,68.248148,15.818862,7.94586,1, 
390229606,J1214-5547,183.71131,-55.789886,7.963,1, 
8420443,J1541-3453,235.47174,-34.888863,7.986,1, 
79403675,HIP 105388,320.2083746,-53.03460813,7.992,1,1
272309839,J1230-5811,187.69279,-58.188023,7.996,1, 
220571983,HD 19819,47.095219,-60.172,7.99927,0,2
219998026,HIP 9892 AB,31.82585242,-53.19913141,8.002,1,2
