   TIC_ID ,                 RA ,                 Dec ,    Tmag ,                  Other-Name
245911057,69.7392319,14.10548198,7.357,                  HD 29461
390472975,184.47163,-55.975548,7.365,                J1217-5558
436658862,72.84701345,15.43338895,7.39,                  HD 30809
441398770,310.46315,-32.435161,7.396,                  AT Mic A
241660079,208.01211,-52.810034,7.398,                 HD 120641
340637365,116.5612604,-59.81343756,7.399,                  HD 63581
267537284,114.26143,-52.365816,7.411,                  HD 61518
77471757,239.02118,-25.935939,7.414,                 HD 142540
266746662,29.45453874,-21.90169374,7.419,               HIP 9141 AB
434229836,63.61405048,12.43526028,7.422,                 V1309 Tau
258236059,182.33519,-42.838455,7.438,                J1209-4250
60903678,66.60300028,16.85319076,7.448,                  V906 Tau
590274,71.7065262,-26.30247982,7.474,                 HIP 22226
60903802,66.66764144,16.74678117,7.481,                  HD 28099
451140671,187.8027,-61.908764,7.487,                J1231-6154
75543709,225.45292,-31.543945,7.503,                J1501-3132
340637363,116.5702355,-59.80886082,7.51221,                  HD 63608
27407107,77.69823703,20.56906638,7.529,                  HD 33400
435883224,64.41276524,16.94773117,7.543,                  HD 27130
406095880,283.2745786,-50.18088379,7.546,                 HIP 92680
21504987,85.89934205,-39.92347462,7.574,                  HD 38397
435938936,66.053656,16.378839,7.632,                  HD 27835
436590739,71.62698443,15.47193867,7.663,                  HD 30246
98761335,235.82167,-35.243359,7.666,                J1543-3514
17409930,66.44858107,18.01713934,7.671,                  HD 27990
68164488,242.96123,-27.552746,7.685,                J1611-2733
10802452,20.13492417,-11.46827257,7.686,                  HIP 6276
420980965,82.263696,-19.143303,7.689,                  HD 36169
301219220,178.26945,-58.25349,7.691,                J1153-5815
245860592,68.49435049,15.16353666,7.694,                 HD 285931
436501188,193.76631,-63.640774,7.697,                J1255-6338
167756732,81.12593773,-38.96989057,7.702,               HD 35650 AB
152371327,65.389659,-25.719482,7.712,                CD-26 1643
386816874,249.63064,-31.101193,7.731,                 HD 149848
464646604,287.741141,-60.27262187,7.735,              HIP 94235 AB
245431214,200.1117,-49.223679,7.735,                J1320-4913
81003,221.38534,-26.942677,7.744,                J1445-2656
457178653,203.17704,-55.827553,7.746,                J1332-5549
435907579,64.78386067,17.52463838,7.758,                  HD 27282
321100028,60.13364862,-41.74844417,7.762,                  HD 25402
410214986,354.9154363,-69.19603359,7.771,              HIP 116748 A
46386531,83.53828332,-15.28431343,7.772,                    AH Lep
23220549,47.42657832,-9.580075501,7.78,                    IS Eri
242990423,60.06964389,14.3058324,7.789,                  HD 25153
441546821,197.3175,-60.308361,7.797,                J1309-6018
434230605,63.60734023,14.6249752,7.803,                  HD 26756
97014510,265.4543134,-50.72473056,7.805,                 HD 160305
7445001,81.600198,-43.375699,7.823,                 HIP 25436
442062521,197.74589,-62.087715,7.827,                J1310-6205
18485128,71.90693317,18.25858866,7.835,                  HD 30355
112603301,112.2134378,-30.24770893,7.836,                 GJ 2060 A
178969585,69.68335522,-27.03387994,7.846,                 HIP 21632
319289907,72.02281201,-80.77907191,7.847,                 HIP 22295
453813834,199.37064,-42.932976,7.853,                J1317-4255
301226897,178.28333,-56.727261,7.855,                J1153-5643
206592394,20.83928147,-57.48089737,7.863,                  HIP 6485
24451239,82.35054771,-34.5153974,7.866,              HIP 25709 AB
456945485,67.81586513,20.13300562,7.88,                  HD 28593
149347480,83.609162,-60.104054,7.88,                  HD 37402
17198787,64.74206096,19.90654912,7.904,                  V893 Tau
17554784,67.15552242,19.74053056,7.919,                  V918 Tau
357105301,180.4120668,-78.9880532,7.92,                 HD 104467
245835422,68.248148,15.818862,7.94586,                  V997 Tau
390229606,183.71131,-55.789886,7.963,                J1214-5547
8420443,235.47174,-34.888863,7.986,                J1541-3453
79403675,320.2083746,-53.03460813,7.992,                HIP 105388
272309839,187.69279,-58.188023,7.996,                J1230-5811
220571983,47.095219,-60.172,7.99927,                  HD 19819
219998026,31.82585242,-53.19913141,8.002,               HIP 9892 AB
270479402,34.33293448,5.360813263,8.013,                  HD 14127
93122097,53.568452,-12.068837,8.019,                  HD 22213
4069456,80.168416,-5.7865647,8.038,                BD-05 1229
443468446,199.48092,-61.010788,8.039,                J1317-6100
327667965,329.4649297,-68.21428472,8.042,             HIP 108422 AB
93372641,86.676828,-21.826859,8.045,                  HD 38700
124286087,197.58111,-32.805428,8.045,                J1310-3248
138901407,82.81545279,5.662746726,8.053,                  HD 36338
150249155,94.337347,-61.246178,8.054,                  HD 44345
241506132,206.18313,-49.299366,8.063,                J1344-4917
266997586,3.47218413,-74.68849644,8.072,                  HIP 1113
615133,72.766095,-27.519758,8.089,                  HD 30984
411885590,189.83814,-55.654116,8.09,                 HD 109965
139285666,347.9674067,-45.13667686,8.093,               HD 218860 A
401137605,186.07621,-58.976471,8.094,                J1224-5858
128611991,274.9675658,-29.27597931,8.107,                 HD 168210
293510802,76.57523723,17.81628625,8.123,                 HD 240648
471012663,357.1080619,-12.98739885,8.131,                  GJ 907.1
242946125,58.77773233,16.99837579,8.137,                 HD 285252
17336696,65.84348635,21.37894007,8.137,                  HD 27732
59232730,240.13048,-36.087898,8.139,                J1600-3605
220594926,117.58475,11.599801,8.166,                BD+11 1690
235058181,83.400709,-51.065574,8.17,            TYC 8098-597-1
18639254,72.26506619,18.64108443,8.181,                  HD 30505
245794704,67.38216468,17.89304615,8.182,                 HD 285773
350563576,86.825196,-54.841055,8.182,                  HD 39130
432613826,74.45657293,14.00211435,8.188,                  HD 31609
53417036,100.09317,-3.5332316,8.189,     1RXS J064022.4-033154
